Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Applying multi-agent system technique to production planning in order to automate decisions,5.81,6.34,5.34,6.15,5.11,5.45,4.76,3.93,7.33
Neural network based framework for optimization of enterprise resource planning,4.41,7.04,9.92,5.0,4.04,3.51,5.19,3.19,6.6
"For ERP payback, look to winning add-on modules",3.41,5.63,3.82,5.38,3.4,2.81,1.73,2.82,2.44
Setting the IT agenda for your business in 2007,5.41,5.63,6.87,6.92,5.32,5.1,6.06,3.8,5.87
PUZZLE: A concept and prototype for linking business intelligence to business strategy,5.41,7.75,5.09,7.31,5.32,5.45,7.36,5.15,7.82
Text analytics for homeland security technology development,5.01,7.04,7.38,7.31,5.96,5.27,7.36,4.66,6.11
Using Set of Experience in the Process of Transforming Information into Knowledge,4.61,7.75,4.83,5.0,3.62,4.92,3.03,3.19,4.89
Knowledge creation in marketing based on data mining,2.61,8.45,4.07,3.46,3.62,3.34,2.16,3.31,4.4
Business intelligence for strategic management in a technology-oriented company,4.81,9.15,7.12,9.62,5.96,5.27,5.63,4.66,6.85
"Proceedings of the 36th Annual Hawaii International Conference on System Sciences, HICSS 2003",5.21,11.27,5.6,6.92,5.96,4.92,4.33,3.93,5.87
A method to elaborate a qualifications framework for innovative design - Application to a master degree in innovation,7.62,7.04,7.63,7.69,7.45,7.38,6.93,7.12,7.58
"Creation, management, and assessment of library screencasts: The regis libraries animated tutorials project",1.6,1.41,3.05,3.08,3.4,3.16,3.03,2.45,2.93
Decision making system of petrochemical engineering budget based on Data Warehouse,4.21,5.63,4.58,3.85,3.62,3.34,4.33,2.82,6.11
Making marketing happen: How great companies make strategic marketing planning work for them,9.62,12.68,10.69,12.31,9.79,8.26,8.23,9.08,10.02
Analytics in Shanghai,3.21,2.82,4.07,3.85,3.19,3.34,3.9,2.58,4.4
A framework for enhancing competitive intelligence capabilities using decision support system based on web mining techniques,4.41,7.75,5.6,5.38,5.11,3.34,6.93,3.44,5.62
Customer analytics projects: Addressing existing problems with a process that leads to success,3.61,3.52,4.07,2.69,3.19,3.16,4.33,2.82,4.4
The NASA program management tool: A new vision in business intelligence,5.41,7.75,6.11,7.31,5.11,4.57,8.66,4.17,5.62
Diagnosis of initial data to design a project model enabling the implementation of a business intelligence process for design and construction engineering companies in Cuba,6.41,11.97,7.89,8.85,5.74,7.91,6.49,6.13,10.51
Visual representation of construction management data,5.81,4.23,6.11,6.15,6.6,7.38,7.79,6.38,7.33
Data warehousing infusion and organizational effectiveness,8.02,10.56,10.69,10.38,8.51,8.96,10.39,6.63,11.74
Business intelligence - A successful approach to creating performance management system. Case study: Application and prospect of business intelligence in metallurgical enterprises in Romania,6.81,10.56,8.91,8.08,6.17,6.33,5.63,4.42,7.33
Support of e-business by business intelligence tools and data quality improvement,4.41,5.63,3.05,5.0,2.98,4.04,5.63,3.31,3.18
The ethics of business intelligence,3.41,7.04,3.05,4.62,2.55,3.16,3.46,2.58,3.67
A conceptual model for technology intelligence,5.61,7.04,6.87,6.92,5.32,4.22,4.33,4.29,6.11
The role of business intelligence in strategic management,1.6,3.52,1.27,1.92,0.85,1.23,1.73,0.98,2.2
The art of outsourcing,4.41,4.23,5.34,6.54,4.47,3.69,5.19,3.68,4.4
Active process-reuse model for collaboration,4.81,4.93,5.09,6.54,5.32,4.57,3.9,4.91,6.6
Customer Relationship Management systems (CRM): Legal issues,3.81,9.15,4.58,5.38,3.83,3.69,2.6,3.19,3.42
Management online: Mining the full potential of the intranet,5.61,8.45,6.11,6.15,4.89,4.57,5.19,2.7,4.89
An approach to integrating bridge and other asset management analyses,14.23,18.31,18.32,20.38,16.17,16.7,20.78,13.74,17.11
Business intelligence and data warehouse - Technological support for decisional management in geographical information systems,8.62,12.68,10.94,10.77,7.45,8.26,13.42,6.87,10.51
The balanced scorecard and its practical applications in oracle balanced scorecard,8.82,13.38,8.4,11.54,8.51,8.08,8.23,6.13,8.56
Building successful technology commercialization teams: Pilot empirical support for the theory of cascading commitment,6.81,9.15,7.63,8.46,7.66,7.21,6.93,6.01,8.07
Illinois workers want lagging public-works projects bolstered,2.2,2.82,2.04,1.54,2.13,2.11,1.73,1.47,2.2
Implementing six sigma: Are you getting results fast enough?,3.21,2.82,2.29,3.08,3.83,4.22,0.87,2.94,2.44
Business intelligence in large organizations: Integrating which data?,5.61,7.75,6.62,7.69,5.32,4.75,9.09,4.66,5.87
Business intelligence - A helping hand for the strategic management,5.61,8.45,5.34,7.69,5.11,5.8,5.63,3.68,6.11
Contributors to construction delays,4.41,4.23,4.33,4.62,4.26,4.22,3.46,3.93,4.16
Case study: Visual analytics in software product assessments,4.01,3.52,4.83,5.0,4.04,4.75,5.19,3.68,5.38
Using business intelligence solutions for achieving organization's strategy: Arab international university case study,4.21,8.45,4.33,6.15,3.83,3.69,4.76,2.94,4.65
Regional intelligence: Distributed localised information systems for innovation and development,5.61,9.86,6.36,8.85,5.11,5.27,9.96,4.91,5.62
Data mining for business applications,7.41,7.75,8.14,9.62,7.45,8.08,7.79,6.87,8.31
What every technical communicator should know about metadata,4.01,5.63,4.58,4.62,3.4,3.34,3.03,2.82,5.38
Processing online analytics with classification and association rule mining,5.81,4.93,6.36,6.54,6.17,5.62,8.23,5.4,7.09
Agile Development of Machine Learning (ML) for Conventional Artificial Lift Systems in the Middle-East,8.42,9.15,10.69,8.46,8.09,8.26,7.36,7.12,9.54
The Effect of Big Data Analytics in Enhancing Agility in Cybersecurity Incident Response,5.41,4.93,5.09,5.0,4.47,5.1,4.76,3.56,6.6
"IFIP WG 5.7 International Conference on Advances in Production Management Systems, APMS 2023",8.62,12.68,8.65,12.31,9.79,8.44,10.39,6.63,10.51
Benefits and Challenges of Making Data More Agile: A Review of Recent Key Approaches in Agriculture,8.42,5.63,7.12,9.23,6.38,6.68,8.66,6.26,7.58
Value creation from analytics with limited data: a case study on the retailing of durable consumer goods,7.21,9.15,6.36,6.15,5.74,5.45,8.66,5.15,6.85
Mastering Snowflake Solutions: Supporting Analytics and Data Sharing,8.82,11.97,10.18,11.15,8.3,7.38,8.66,7.12,10.02
Digital twin-based intelligent fish farming with Artificial Intelligence Internet of Things (AIoT),4.81,1.41,4.83,3.85,4.47,4.57,8.66,4.42,5.38
Advanced analytics for mining industry,11.22,13.38,12.47,12.69,10.64,12.48,14.72,10.06,13.94
"Third Element of Strategy—Team, Processes, and Governance: Establishing Building Blocks, Including an Agile Team, for Success",4.41,6.34,4.07,5.0,3.83,3.69,3.9,3.07,4.16
"The importance of data mining, user information behaviour and interaction audit for information literacy",8.42,8.45,9.41,9.62,8.72,8.79,12.12,8.22,12.71
Role of chemical reaction engineering for sustainable growth: One industrial perspective from India,5.81,10.56,7.38,8.46,7.02,6.68,9.96,6.75,8.07
Organisational enablers of advanced analytics adoption for supply chain flexibility and agility,4.01,5.63,5.34,6.54,4.26,4.75,5.63,3.8,6.11
"Proceedings of the 22nd International Conference on Business Informatics Research, BIR 2023",8.42,11.27,10.69,12.69,9.15,8.44,11.69,7.61,11.0
Artifact Traceability in DevOps: An Industrial Experience Report,4.01,2.82,3.82,3.85,3.83,4.04,4.33,2.82,4.65
Research trends analysis using text mining in construction management: 2000–2020,5.41,2.82,7.12,5.38,6.38,4.92,4.76,5.28,7.82
Role of big data in agile business management: A conceptual framework,5.41,7.04,4.83,6.15,4.26,3.87,7.79,3.68,6.11
Science Autonomy and Planetary Missions: ML and Data Science Applied to the ExoMars Mission,10.82,9.86,12.47,10.38,10.43,10.9,12.55,9.57,11.49
"HiVE, an agile microsatellite constellation for thermal infrared Earth observation enabling “more crop per drop”",7.41,10.56,7.12,7.69,8.09,8.26,6.93,6.5,5.62
Bringing Huge Core Analysis Legacy Data Into Life Using Machine Learning,9.22,13.38,11.45,10.0,9.15,10.54,6.93,8.47,11.49
Impact of artificial intelligence-driven big data analytics culture on agility and resilience in humanitarian supply chain: A practice-based view,9.22,7.75,9.41,14.23,7.87,9.49,12.55,8.34,12.47
Towards MLOps in Mobile Development with a Plug-in Architecture for Data Analytics,3.81,6.34,5.34,6.54,4.89,5.1,8.66,4.42,4.65
An empirical investigation of effect of sustainable and smart supply practices on improving the supply chain organizational performance in SMEs in India,7.41,7.04,8.91,11.54,8.09,8.79,10.82,6.63,11.25
Cancer Clinic Redesign: Opportunities for Resource Optimization,6.81,8.45,7.89,8.46,8.09,7.73,9.52,6.13,6.6
Data-Driven Transformation: The Role of Ambidexterity and Analytics Capability in Building Dynamic and Sustainable Supply Chains,8.02,13.38,7.12,10.0,7.23,7.91,7.79,6.13,8.31
Bean counter to value-adding business partner: the changing role of the accountant and situated rationality in a multinational firm,7.62,10.56,6.11,10.77,7.45,5.62,7.36,6.26,10.51
Towards a Democratization of Data in the Context of Industry 4.0,5.61,4.23,4.83,5.38,5.32,4.04,5.63,3.68,4.65
Skills Measurement Strategic Leadership Based on Knowledge Analytics Management through the Design of an Instrument for Business Managers of Chilean Companies,5.61,10.56,6.87,9.62,6.17,5.62,6.93,4.79,7.09
Information Resilience: the nexus of responsible and agile approaches to information use,5.01,9.86,4.58,6.15,4.89,3.87,6.49,3.8,5.38
A Robust Statistical Methodology for Measuring Enterprise Agility,7.82,14.08,8.91,11.92,7.45,7.03,9.09,6.38,9.05
Taming the HiPPO (Highest Paid Person's Opinion) with agile metrics and value management,3.01,6.34,2.54,3.46,4.26,3.51,2.6,3.31,3.18
Big Data Analytics Capability Ecosystem Model for SMEs,7.82,11.27,9.92,11.54,7.45,7.21,10.82,7.48,9.54
Digital conflicts in procurement,9.62,14.79,10.43,13.08,8.94,10.02,10.39,7.85,10.51
Selection of Industry 4.0 Technology to Support Lean Manufacturing from the Perspective of Enterprise Interoperability,7.01,11.27,8.65,7.69,6.6,6.85,8.23,7.12,8.07
Multi-access Edge Computing video analytics of ITU-T P.1203 Quality of Experience for streaming monitoring in dense client cells,4.81,5.63,7.63,6.92,6.17,7.03,7.79,5.89,6.85
Implications of using Industry 4.0 base technologies for lean and agile supply chains and performance,6.61,3.52,7.38,8.85,6.17,5.45,7.36,5.15,7.09
How big data analytics use improves supply chain performance: considering the role of supply chain and information system strategies,4.81,4.93,5.09,6.54,5.32,3.69,3.9,4.29,5.62
Lean in industry 4.0 is accelerating manufacturing excellence – A DEMATEL analysis,7.01,7.75,7.12,8.46,7.02,6.33,11.26,6.13,11.0
Achieving Competitive Sustainable Advantages (CSAs) by Applying a Heuristic-Collaborative Risk Model,7.41,11.97,10.43,12.31,9.15,9.14,10.39,8.47,10.02
Analyzing Truck Driver's Behavior on the Road Using YOLO v4 Tiny Algorithm,6.61,7.75,7.63,6.54,7.02,7.03,11.69,6.13,6.85
Lessons learned to improve the UX practices in agile projects involving data science and process automation,5.81,4.23,7.12,8.85,6.6,7.21,9.52,6.01,6.85
Accelerating Digital Transformation of SMEs,3.21,3.52,2.04,3.08,2.98,3.16,1.73,3.31,3.18
Digital Transformation Handbook,7.41,10.56,6.87,10.77,6.6,7.38,7.79,6.75,8.07
An Agile Concept Inventory Methodology to Detect Large Sets of Student Misconceptions in Programming Language Courses,3.01,3.52,4.58,2.69,4.68,4.92,3.46,4.17,5.13
Machine learning (ML) on the Internet of Things (IoT) streaming data toward real-time insights,6.81,9.15,6.87,5.38,5.53,5.98,9.52,4.54,8.07
Holistic Framework to Data-Driven Sustainability Assessment,5.41,7.04,6.87,8.08,4.89,5.8,6.93,5.03,6.6
Successful operational integration of healthcare analytics at Seattle Children's,10.62,10.56,11.2,14.23,10.43,8.61,10.39,8.34,11.0
Analysis of Business Data and Cybersecurity as New Areas of Activity for Business Analysts in the Context of Digital Transformation,3.21,4.93,3.05,2.69,2.55,3.16,2.6,2.7,3.67
Enterprise-Level IS Research: Challenges and Potentials of Looking Beyond Enterprise Solutions,8.22,9.86,8.91,11.92,7.45,6.5,9.52,6.75,8.56
Integrating design thinking and agile approaches in analytics development: The case of Aginic,3.21,4.93,4.83,3.85,3.19,3.16,4.76,3.44,3.42
"A Review of Cloud Computing on Sustainable Development: Contribution, Exploration and Potential Challenges",4.41,7.75,6.87,7.31,4.68,5.27,7.36,4.42,6.6
"Lessons Learned From Interdisciplinary Efforts to Combat COVID-19 Misinformation: Development of Agile Integrative Methods From Behavioral Science, Data Science, and Implementation Science",7.21,8.45,7.12,9.23,8.94,8.61,8.23,7.98,7.09
Intertwining green SCM- and agile SCM-based decision-making framework for sustainability using GIVTFNs,7.21,10.56,9.92,8.85,7.45,8.08,7.36,7.36,11.25
"Impact of COVID-19 on open universities worldwide: case studies from Asia, Africa and Europe",8.42,9.86,10.43,9.23,8.3,7.73,6.93,7.24,9.29
Moving towards agile cybersecurity incident response: A case study exploring the enabling role of big data analytics-embedded dynamic capabilities,7.01,7.75,5.85,6.92,5.32,5.1,5.63,5.28,6.85
From digital tools to digital methodology: About the agile introduction of BI: Support driver-based planning,5.41,7.75,6.87,6.15,4.68,4.75,5.19,5.15,5.13
The Review for Visual Analytics Methodology,8.02,7.75,8.65,10.77,8.94,7.91,9.96,7.98,11.0
"23rd International Conference on Enterprise Information Systems, ICEIS 2021",8.22,8.45,9.67,8.85,9.79,7.73,9.96,7.12,10.76
Reimagining the Fashion Retail Industry Through the Implications of COVID-19 in the Gulf Cooperation Council (GCC) Countries,5.21,6.34,4.07,5.77,3.83,3.69,6.49,3.68,6.85
Monitoring Cloud-Native Applications: Lead Agile Operations Confidently Using Open Source Software,6.21,2.11,6.62,10.38,5.74,6.68,8.23,5.15,7.82
A Business Intelligence Tool for Explaining Similarity,5.81,7.75,5.6,6.54,6.81,5.8,6.06,5.52,5.87
BERT-Based Secure and Smart Management System for Processing Software Development Requirements from Security Perspective,4.61,3.52,5.34,8.46,5.74,6.15,5.19,5.52,6.36
"CAiSE-DC 2022 - Proceedings of the Doctoral Consortium Papers Presented at the 34th International Conference on Advanced Information Systems Engineering, CAiSE 2022",6.21,8.45,6.36,6.92,6.38,5.1,6.06,4.66,6.36
Demonstration of latency-aware 5G network slicing on optical metro networks,3.01,0.0,2.8,4.62,2.77,3.34,4.76,2.7,4.65
Creating Value from Front End Digitalization Versus Conventional Work Processes,7.82,9.86,9.16,8.85,8.51,8.44,7.79,7.61,9.78
Emerging Market Retail: Transitioning from a Product-Centric to a Customer-Centric Approach,6.01,7.75,6.87,8.08,6.38,5.62,6.93,5.03,7.58
A Case Study on Project Realization Digitalization from the Domain Perspective,8.82,4.93,10.18,13.46,10.0,9.67,8.23,7.36,10.76
Minimising Risk—The Application of Kotter’s Change Management Model on Customer Relationship Management Systems: A Case Study,6.01,5.63,7.38,9.23,7.87,7.56,8.23,6.87,9.54
Leveling up tech skills in the internal audit profession: A window into value creation in evolving digitalized business landscapes,6.21,8.45,6.87,9.62,5.32,5.45,6.49,6.01,7.58
Digital transformation by enabling strategic capabilities in the context of “BRICS”,10.82,19.01,13.99,15.77,10.0,12.48,16.45,11.53,13.45
Data Virtual Machines: Enabling Data Virtualization,4.01,2.82,3.82,2.69,3.4,3.69,3.03,3.07,3.91
"Reimagining Digital Learning for Sustainable Development: How Upskilling, Data Analytics, and Educational Technologies Close the Skills Gap",4.81,8.45,5.6,6.54,6.38,6.85,5.63,5.15,6.36
Log Sinks and Big Data Analytics along with User Experience Monitoring to Tell a Fuller Story,5.01,6.34,5.85,7.69,5.74,6.15,7.79,5.28,6.36
Evergreen Forecast & Predictive LTRO Using Machine Learning – Case Study from PDO South,10.42,9.86,10.69,10.0,8.3,8.61,8.66,7.36,10.51
Interactive Visualization for Statistical Modelling through a Shiny App in R,5.01,2.82,5.6,6.54,5.96,5.45,7.36,5.28,8.07
Towards the Automation of Industrial Data Science: A Meta-learning based Approach,5.81,7.04,6.36,4.62,6.17,6.33,6.93,5.4,8.56
Building capacity of community health centers to overcome data challenges with the development of an agile COVID-19 public health registry: a multistate quality improvement effort,5.81,2.82,7.89,9.23,6.6,7.56,8.23,6.75,7.33
Understanding business analytics continuance in agile information system development projects: an expectation-confirmation perspective,4.41,4.93,4.07,5.77,3.62,3.34,3.9,3.44,4.89
Remote Digital Technologies Driving Innovation - A Case Study on Subsea Operations,9.82,11.27,10.94,10.38,10.64,9.84,9.09,9.69,9.54
Agile Field Development Study Leveraging Fast-Tracked Reservoir Modeling and Data Analytics While Incorporating Reservoir Uncertainties,6.61,7.75,7.38,7.69,7.02,7.21,5.19,5.4,9.78
The Digitalization of Well Intervention Operations: From Proof of Concept to Proof of Scale,9.62,9.86,12.47,10.0,9.36,10.9,10.39,8.71,11.25
Toward an Understanding of Big Data Analytics and Competitive Performance,6.21,7.04,6.62,8.08,5.96,5.45,6.49,5.28,6.36
"10th International Conference on Design, User Experience, and Usability, DUXU 2021, held as part of the 23rd International Conference, HCI International 2021",6.41,7.75,8.14,7.69,4.89,5.8,9.52,6.01,6.85
Emergency management system design for accurate data: a cognitive analytics management approach,5.81,4.93,7.89,8.46,6.38,5.98,9.52,6.13,8.07
Organizational agility in industry 4.0: A systematic literature review,5.21,6.34,4.83,6.15,4.68,5.45,8.23,4.17,7.09
QaSD: A Quality-aware Strategic Dashboard for supporting decision makers in Agile Software Development,4.61,7.04,7.12,6.15,4.89,6.15,4.76,4.54,6.85
Current approaches for executing big data science projects—a systematic literature review,6.41,9.86,7.63,6.92,5.74,6.15,8.66,5.4,9.78
The mediating role of knowledge management and information systems selection management capability on Big Data Analytics quality and firm performance,6.81,11.97,7.12,8.85,7.02,5.27,8.23,5.77,9.54
The essential role of population health during and beyond COVID-19,4.41,5.63,5.34,6.92,5.11,4.92,4.33,4.66,5.87
The Urgency of Business Agility During COVID-19 Pandemic: Distribution of Small and Medium Business Products and Services,4.81,7.04,6.11,6.92,4.04,4.75,3.46,3.93,5.87
Leveraging the serverless paradigm for realizing machine learning pipelines across the edge-cloud continuum,7.62,9.15,7.38,8.85,7.45,7.03,10.39,6.38,7.82
"Transitioning from Legacy Air Traffic Management to Airspace Management through Secure, Cloud-Native Automation Solutions",10.22,8.45,12.47,13.08,11.06,12.48,13.42,9.94,12.96
Towards using self-generated data sources to decision support in agile software development; [Hacia el uso de fuentes autogeneradas de datos como soporte a la toma de decisiones en el desarrollo ágil de software],4.61,9.15,6.36,6.92,4.26,5.27,4.33,4.17,5.38
Agile Architectural Model for Development of Time-Series Forecasting as a Service Applications,5.01,5.63,7.89,8.08,7.02,6.5,8.66,5.89,6.85
"Real-time analytics, incident response process agility and enterprise cybersecurity performance: A contingent resource-based analysis",4.01,6.34,5.34,8.08,3.83,4.75,5.63,4.42,6.85
The role of artificial intelligence in shaping the future of Agile fashion industry,7.82,7.04,7.89,6.54,6.81,7.73,7.36,7.36,10.27
Digital Lighthouse: A Scalable Model for Digital Transformation in Oil & Gas,10.62,9.86,11.96,8.85,7.23,8.61,10.39,7.36,9.29
Value Oriented Engineering Solutions for Business Continuity,7.21,7.04,7.89,6.92,6.6,7.38,7.36,5.77,8.56
"Digitally Transforming Electronic Governments into Smart Governments: SMARTGOV, an Extended Maturity Model",5.61,5.63,5.85,6.54,5.53,5.98,9.96,5.64,8.56
Lean 4.0: Digital Technologies as Strategies to Reduce Waste of Lean Manufacturing,4.81,6.34,7.89,5.77,5.53,5.27,6.06,5.4,6.6
Re-Imagining Performance Reviews: Automated Dashboards for Continuous Visibility of Engineers' Performance,6.41,7.75,5.85,10.38,5.74,5.8,6.93,4.29,6.11
Business Analytics in Strategic Purchasing: Identifying and Evaluating Similarities in Supplier Documents,5.01,9.86,5.34,7.31,5.11,4.57,5.19,4.29,5.87
SoReady: An Extension of the Test and Defect Coverage-Based Analytics Model for Pull-Based Software Development,4.21,3.52,5.85,6.54,4.47,6.68,4.33,4.91,7.33
Analysis of barriers in implementation of digital transformation of supply chain using interpretive structural modelling approach,6.01,6.34,7.89,7.69,9.15,7.21,9.52,6.99,7.82
Cyber Digital Twin Simulator for Automatic Gathering and Prioritization of Security Controls' Requirements,4.41,3.52,4.83,5.0,4.47,5.1,3.03,4.42,4.4
Agile CMII: A Methodology for Assessing Social Project Impacts Within Agile Contexts,5.21,4.93,7.12,9.23,4.89,5.98,5.19,6.01,6.85
Development and initial validation of the big data framework for agile business: Transformational innovation initiative,3.21,5.63,3.05,3.85,3.4,3.34,4.76,3.93,3.91
Architectural ML Framework for IoT Services Delivery Based on Microservices,4.01,3.52,5.09,5.38,5.32,4.39,7.79,4.29,3.91
Why we need a small data paradigm,7.41,8.45,9.16,7.31,6.81,7.91,9.52,6.63,9.05
"Rejuvenating late life field opportunities through a fast track full field re-evaluation, focused idle well reactivation, strategic data acquisition and data analytics in peninsular Malaysia waters",9.22,12.68,9.16,8.46,9.36,6.68,9.96,7.24,10.02
Practical insights for sales force digitalization success,5.61,6.34,6.36,10.38,6.17,6.33,7.36,5.52,7.58
"The effect of disruption technology, and the future knowledge management toward service innovation for telecommunication industry 4.0 in Indonesia",8.22,16.2,8.14,13.08,7.45,9.84,12.55,8.1,9.54
"Comparison of the Particulate Matter Index and Particulate Evaluation Index Numbers Calculated by Detailed Hydrocarbon Analysis by Gas Chromatography (Enhanced ASTM D6730) and Vacuum Ultraviolet Paraffin, Isoparaffin, Olefin, Naphthene, and Aromatic Analysis (ASTM D8071)",3.21,2.11,5.09,3.08,5.11,4.22,5.19,3.19,4.89
Structural modeling of lean supply chain enablers: a hybrid AHP and ISM-MICMAC based approach,8.02,9.15,10.69,10.0,9.79,8.96,9.52,8.83,14.43
Commentary: practical insights for sales force digitalization success—an executive’s key takeaways,2.4,3.52,2.8,5.38,2.34,3.87,3.46,3.19,4.4
STAMP 4 NLP – An Agile Framework for Rapid Quality-Driven NLP Applications Development,6.61,7.75,6.11,7.69,5.96,6.68,9.09,5.15,7.82
Sentiment Analysis Platform of Customer Product Reviews,4.61,3.52,4.58,4.62,4.04,4.04,5.63,4.29,6.85
How big data analytics improve supply chain performance: Considering the roles of supply chain and is strategy,3.81,3.52,3.31,3.85,4.26,3.16,3.03,2.82,3.67
Excess patient visits for cough and pulmonary disease at a large US health system in the months prior to the COVID-19 pandemic: Time-series analysis,7.21,6.34,9.16,8.46,8.51,6.15,9.52,5.64,9.29
Sustainability benefits analysis of cyber-manufacturing systems,5.21,6.34,7.12,6.92,7.45,5.98,7.36,6.38,8.31
INFORMING AGILITY IN THE CONTEXT OF ORGANIZATIONAL CHANGES,6.01,7.75,6.87,6.92,4.89,6.33,7.79,5.52,8.31
"1st Conference on Production Systems and Logistics, CPSL 2020",6.01,13.38,10.18,5.77,8.51,7.21,8.23,6.63,7.58
Predictive Analysis of Manpower Requirements in Scrum Projects Using Regression Techniques,4.61,4.23,6.36,6.15,6.81,5.98,6.06,5.52,6.11
Marketing ecosystem: An outside-in view for sustainable advantage,5.41,9.15,6.11,7.31,6.38,5.98,7.36,5.03,8.8
Just-in-time modeling with DataMingler,2.61,2.11,2.04,2.69,2.98,1.93,1.73,2.94,3.18
Developing strategies to improve agility in the project procurement management (PPM) process: Perspective of business intelligence (BI),9.22,10.56,11.2,15.38,7.66,7.91,12.12,8.71,11.49
Production optimization under constraints: Development and application of software combining data science and petroleum engineering knowledge,5.81,4.23,5.85,3.85,5.96,5.27,5.63,4.17,4.65
Digital transformation and the impact in knowledge management,5.81,7.04,6.11,7.31,5.74,5.1,9.09,4.79,6.36
Refinery digital transformation: Driving an end-to-end value chain optimization strategy with ai and prescriptive models,9.82,9.86,11.7,11.15,9.79,9.84,10.82,7.61,12.47
Enduring Industry Dynamics through Agile Business Strategy,6.81,8.45,6.36,7.31,4.89,5.45,6.49,4.54,7.09
The ecology of open innovation units: adhocracy and competing values in public service systems,5.01,7.04,6.87,7.31,4.89,5.1,6.93,4.66,4.89
Software Engineering for Machine Learning: A Case Study,7.01,4.93,6.87,9.23,6.81,7.03,7.79,5.89,7.82
A scoping review of the use of data analytics for the evaluation of mhealth applications,7.62,9.15,10.18,8.46,7.66,8.44,10.82,6.63,11.49
Large scale quality transformation in hybrid development organizations – A case study,5.61,6.34,6.36,8.46,5.11,5.98,7.79,4.91,6.11
Big data analytics capability and co-innovation: An empirical study,4.61,4.23,5.09,5.77,5.11,4.57,6.93,4.05,6.11
Modelling the relationship of digital technologies with lean and agile strategies,5.41,7.04,7.38,8.08,5.96,5.45,8.66,5.15,6.36
Agile analytics: Adoption framework for business intelligence in higher education,4.81,7.04,5.6,5.77,5.74,5.1,6.06,4.54,6.36
Managing the professional skills of the future: A model to support competence management,8.22,9.15,7.89,7.69,6.17,5.98,7.36,5.89,8.56
Exploring critical success factors in agile analytics projects,5.81,4.23,5.09,6.15,5.32,5.8,9.09,5.03,7.58
"Baltic-DB and IS-Forum-DC 2020 - Joint Proceedings of Baltic DB and IS 2020 Conference Forum and Doctoral Consortium, co-located with the 14th International Baltic Conference on Databases and Information Systems, Baltic DB and IS 2020",5.21,7.04,4.58,4.23,5.53,4.39,4.76,3.8,4.89
Long-term creep behavior prediction of polymethacrylimide foams using artificial neural networks,4.01,3.52,5.85,3.85,6.38,4.75,5.19,3.93,5.38
Supply chain business intelligence and the supply chain performance: The mediating role of supply chain agility,6.21,7.04,7.12,8.85,6.17,5.62,7.36,5.15,8.31
HawkEye: A visual framework for agile cross-validation of deep learning approaches in financial forecasting,7.41,5.63,8.14,8.08,7.87,6.33,5.19,6.87,8.31
"Applying IIoT and AI - Opportunities, requirements and challenges for industrial machine and equipment manufacturers to expand their services",6.41,9.86,5.85,7.31,5.32,6.33,7.36,6.63,7.58
Simulating a virtual machining model in an agent-based model for advanced analytics,4.41,4.93,6.87,4.23,5.32,5.1,5.19,4.91,5.62
Methodologies for designing healthcare analytics solutions: A literature analysis,5.61,4.93,7.63,9.23,5.74,6.15,7.36,5.15,7.82
Applying Scrum in Data Science Projects,5.21,3.52,6.11,6.15,4.68,5.8,8.23,5.03,7.09
Transforming communication channels to the co-creation and diffusion of intangible heritage in smart tourism destination: Creation and testing in Ceutí (Spain),4.81,8.45,5.85,5.77,3.83,5.98,10.82,4.79,5.87
Towards Agile Integration: Specification-based Data Alignment,6.01,6.34,5.6,8.85,6.81,6.68,6.93,5.77,6.85
HR 4.0 case studies,8.62,7.75,7.38,11.54,6.81,6.85,7.36,5.89,8.8
Reputational intelligence: innovating brand management through social media data,6.81,11.97,8.91,11.15,7.87,7.38,8.66,7.61,10.51
Journey towards the unconventional digital well factory,7.62,8.45,6.87,9.23,8.72,8.44,8.66,6.13,7.82
How to make intelligent automation projects agile? Identification of success factors and an assessment approach,9.22,12.68,10.18,12.69,9.36,9.67,11.69,8.71,11.74
Data as a strategic asset: Improving results through a systematic data governance framework,14.43,17.61,18.07,16.54,14.68,15.29,14.29,11.66,17.6
From Ad-Hoc data analytics to DataOps,7.41,10.56,9.16,10.0,8.72,7.56,9.09,6.01,10.02
Effectiveness of groundwater heavy metal pollution indices studies by deep-learning,5.61,4.93,9.67,6.54,7.02,8.08,5.63,5.89,7.09
Designing a Sourcing Ecosystem for Strategic Innovation Through “Big Data” Applications,8.22,12.68,9.16,10.77,7.02,7.91,10.39,7.36,9.54
Using Big Data Analytics to Create a Predictive Model for Joint Strike Fighter,11.22,16.2,13.49,12.31,10.85,10.72,11.26,8.1,11.98
"Understand, develop and enhance the learning process with big data",13.83,14.08,17.05,16.92,14.47,14.06,15.58,13.37,16.87
Leveraging Governance to Derive Value from Advanced Analytics,3.01,4.23,3.56,5.0,3.19,2.99,4.33,2.94,3.42
"Rejuvenating late life field opportunities through a fast track full field re-evaluation, focused idle well reactivation, strategic data acquisition and data analytics in Peninsular Malaysia waters",9.22,12.68,9.16,8.46,9.15,6.68,9.96,7.24,10.02
Leadership decision-making processes in the context of data driven tools,6.01,10.56,6.87,8.08,5.53,5.98,7.36,5.15,7.58
Health and safety in smart industry: State-of-the-art and future trends,3.41,4.93,4.33,3.85,4.26,3.16,6.49,3.68,5.87
